seller_id,seller_state,total_orders,total_revenue,avg_review_score,late_rate_pct,avg_delay_days,composite_score,performance_tier,perf_rank,perf_quartile
18e694e0e48ed6f7aa3f24aade5fd697,SP,31,701.54,4.68,3.2,-12.8,69.4,Good,164,1
68f86ba270525243e68ae74044f992b9,RJ,10,777.5,4.5,0.0,-13.7,69.4,Good,164,1
d8c7ba53e7e38711eaef8c2849d6d2e1,PR,22,1207.77,4.5,0.0,-18.5,69.4,Good,164,1
a425f92c199eb576938df686728acd20,PR,16,1106.3,4.5,0.0,-15.2,69.4,Good,164,1
88cf19ec1fc2c58f161aee259d57142c,SP,14,1372.97,4.5,0.0,-13.3,69.4,Good,164,1
325f3178fb58e2a9778334621eecdbf9,SP,35,1207.42,4.49,0.0,-11.5,69.3,Good,173,1
2059c39f76271d4ca3f15b5ffaccc8b8,PR,12,604.9,4.5,0.0,-13.3,69.3,Good,173,1
0ea22c1cfbdc755f86b9b54b39c16043,MG,225,10735.69,4.45,0.9,-16.7,69.3,Good,173,1
8ed8ea9a57c862f2c18c2fe41f601d56,SC,19,3831.9,4.47,0.0,-15.7,69.3,Good,173,1
3504c0cb71d7fa48d967e0e4c94d59d9,SP,52,2303.14,4.48,0.0,-10.7,69.3,Good,173,1
989becdce12ebc39863c2bceab6f3ca1,PR,15,6302.9,4.8,6.7,-15.5,69.2,Good,178,1
5160d23075764e18e07c1f4a87fad743,SP,32,2459.8,4.47,0.0,-9.8,69.2,Good,178,1
f9244d45189d3a3605499abddeade7d5,SP,20,15081.44,4.35,0.0,-24.2,69.2,Good,178,1
65febd49fd28ec955651299159b1f527,SP,33,4136.71,4.45,0.0,-13.0,69.2,Good,178,1
c864036feaab8c1659f65ea4faebe1da,PR,58,10454.2,4.57,3.4,-13.4,69.1,Good,182,1
87142160b41353c4e5fca2360caf6f92,RS,302,30683.03,4.41,4.0,-15.0,69.1,Good,182,1
6cd68b3ed6d59aaa9fece558ad360c0a,MG,148,11317.57,4.45,1.4,-14.1,69.1,Good,182,1
c3e1abd72a42fe690fcd89cf5720fe29,SP,13,1798.61,4.46,0.0,-11.4,69.0,Good,185,1
bf3c6d2a28b2b5501e6c15448982dcc9,SP,35,3956.5,4.6,2.9,-11.9,69.0,Good,185,1
a3dd39f583bc80bd8c5901c95878921e,BA,34,4607.81,4.59,2.9,-11.8,69.0,Good,185,1
9baf5cb77970f539089d09a38bcec5c3,SP,31,5989.68,4.42,0.0,-18.1,69.0,Good,185,1
8581055ce74af1daba164fdbd55a40de,SP,377,63785.62,4.31,8.2,-9.0,69.0,Good,185,1
d57e18d5f73c7ccb7f7339b61166898d,SP,60,3151.8,4.45,0.0,-11.4,69.0,Good,185,1
594f9aaa48e5bf431f011ddc5669b0d5,MG,37,3248.8,4.59,2.7,-13.7,69.0,Good,185,1
bd697db56ff8e7c9cd1abeb7f72029b2,SP,20,2769.8,4.45,0.0,-12.8,69.0,Good,185,1
850f4f8af5ea87287ac68de36e29107f,SP,185,45358.27,4.31,4.9,-14.7,69.0,Good,185,1
77fccaae319668a8ab6cd0fd16aec48c,RJ,11,1667.0,4.45,0.0,-11.5,68.9,Good,194,1
9d5a9018aee56acb367ba9c3f05d1d6a,GO,66,10249.97,4.45,1.5,-13.5,68.9,Good,194,1
57e632711dec9ec14ca7546769483e7e,SC,61,6417.06,4.41,0.0,-16.7,68.9,Good,194,1
116ccb1a1604bc88e4d234a8c23f33de,SP,60,1960.79,4.63,3.3,-10.1,68.9,Good,194,1
